index,simplified,traditional,traditionalVariants,pinyin,pinyin2,pinyin3,numberedPinyin,numberedPinyin2,numberedPinyin3,radicalIndex,hskLevel,lesson,definition,examples,wordExamples
1243,册,冊,,cè,,,ce4,,,13,5,,book | volume | tome | measure word for books,"[{""chinese"": ""这套教科书一共有六册。"", ""english"": ""This set of textbooks has a total of six volumes.""}, {""chinese"": ""我今年读了十册小说。"", ""english"": ""I read ten novels this year.""}, {""chinese"": ""图书馆新增了五百册图书。"", ""english"": ""The library added five hundred books.""}]","[{""word"": ""手册"", ""pinyin"": ""shǒucè"", ""meaning"": ""handbook | manual""}, {""word"": ""画册"", ""pinyin"": ""huàcè"", ""meaning"": ""picture album | illustrated book""}, {""word"": ""日记册"", ""pinyin"": ""rìjìcè"", ""meaning"": ""diary | journal""}]"
1244,启,啟,,qǐ,,,qi3,,,30,5,,to open | to start | to begin | to enlighten | to enable,"[{""chinese"": ""明天启动新的项目。"", ""english"": ""We will launch the new project tomorrow.""}, {""chinese"": ""请启开这个文件。"", ""english"": ""Please open this file.""}, {""chinese"": ""父亲的话启发了我的人生方向。"", ""english"": ""My father's words enlightened my life direction.""}]","[{""word"": ""启动"", ""pinyin"": ""qǐdòng"", ""meaning"": ""to start | to launch | to boot up""}, {""word"": ""启发"", ""pinyin"": ""qǐfā"", ""meaning"": ""to inspire | to enlighten | to educate""}, {""word"": ""开启"", ""pinyin"": ""kāiqǐ"", ""meaning"": ""to open | to start | to begin""}]"
1245,贷,貸,,dài,,,dai4,,,154,5,,to lend on interest | to borrow | a loan,"[{""chinese"": ""他向银行贷了一笔钱买房子。"", ""english"": ""He borrowed a sum of money from the bank to buy a house.""}, {""chinese"": ""这个贷款的利息太高了。"", ""english"": ""The interest rate on this loan is too high.""}, {""chinese"": ""我每个月都要还贷款。"", ""english"": ""I have to pay back my loan every month.""}]","[{""word"": ""贷款"", ""pinyin"": ""dàikuǎn"", ""meaning"": ""loan / to borrow money""}, {""word"": ""贷方"", ""pinyin"": ""dàifāng"", ""meaning"": ""creditor / lending party""}, {""word"": ""抵押贷款"", ""pinyin"": ""dǐyālǜ dàikuǎn"", ""meaning"": ""mortgage / secured loan""}]"
1246,款,款,,kuǎn,,,kuan3,,,76,5,,funds / money / payment / item / article / model,"[{""chinese"": ""这款手机特别受欢迎。"", ""english"": ""This model of mobile phone is particularly popular.""}, {""chinese"": ""请务必在规定期限内汇款。"", ""english"": ""Please make sure to transfer the payment within the deadline.""}, {""chinese"": ""合同第三款规定了双方的义务。"", ""english"": ""Article 3 of the contract specifies the obligations of both parties.""}]","[{""word"": ""款式"", ""pinyin"": ""kuǎnshì"", ""meaning"": ""style / design / model""}, {""word"": ""付款"", ""pinyin"": ""fùkuǎn"", ""meaning"": ""payment / to pay""}, {""word"": ""条款"", ""pinyin"": ""tiáokuǎn"", ""meaning"": ""clause / article / provision""}]"
1247,软,軟,,ruǎn,,,ruan3,,,159,5,,soft | pliable | flexible | weak,"[{""chinese"": ""这张沙发坐起来很软舒服。"", ""english"": ""This sofa is soft and comfortable to sit on.""}, {""chinese"": ""他性格软弱，容易被人欺负。"", ""english"": ""He has a weak personality and is easily bullied.""}, {""chinese"": ""装好软件后需要重启电脑。"", ""english"": ""After installing the software, you need to restart the computer.""}]","[{""word"": ""软件"", ""pinyin"": ""ruǎnjiàn"", ""meaning"": ""software""}, {""word"": ""软弱"", ""pinyin"": ""ruǎnruò"", ""meaning"": ""weak / feeble""}, {""word"": ""软硬兼施"", ""pinyin"": ""ruǎnyìng jiānshī"", ""meaning"": ""use both carrot and stick / combine soft and hard tactics""}]"
1248,尊,尊,,zūn,,,zun1,,,41,5,,to honor / to respect / senior / of a senior generation / classifier for vessels or Buddha statues,"[{""chinese"": ""我们都很尊敬这位老师。"", ""english"": ""We all respect this teacher very much.""}, {""chinese"": ""尊老爱幼是中华传统美德。"", ""english"": ""Respecting the elderly and caring for the young is a traditional Chinese virtue.""}, {""chinese"": ""这尊佛像非常精美。"", ""english"": ""This Buddha statue is extremely exquisite.""}]","[{""word"": ""尊敬"", ""pinyin"": ""zunjìng"", ""meaning"": ""to respect / to honor""}, {""word"": ""尊重"", ""pinyin"": ""zunzhòng"", ""meaning"": ""to respect / to attach importance to""}, {""word"": ""尊贵"", ""pinyin"": ""zunguì"", ""meaning"": ""noble / distinguished / dignified""}]"
1249,革,革,,gé,kē,,ge2,ke1,,177,5,,leather | animal hide | to reform | to remove,"[{""chinese"": ""政治改革需要循序渐进。"", ""english"": ""Political reform needs to progress gradually.""}, {""chinese"": ""这双皮鞋是用真皮革制成的。"", ""english"": ""This pair of leather shoes is made from genuine leather.""}, {""chinese"": ""工业革命改变了人类社会。"", ""english"": ""The Industrial Revolution transformed human society.""}]","[{""word"": ""改革"", ""pinyin"": ""gǎigé"", ""meaning"": ""to reform / reform""}, {""word"": ""革命"", ""pinyin"": ""gémìng"", ""meaning"": ""revolution / revolutionary""}, {""word"": ""皮革"", ""pinyin"": ""píge"", ""meaning"": ""leather / hide""}]"
1250,剩,剩,,shèng,,,sheng4,,,18,5,,to remain | to be left | to have as remainder,"[{""chinese"": ""饭盒里还剩一些米饭。"", ""english"": ""There's still some rice left in the lunch box.""}, {""chinese"": ""剩下的钱够买一杯咖啡吗？"", ""english"": ""Is there enough money left to buy a cup of coffee?""}, {""chinese"": ""他吃剩了半个苹果。"", ""english"": ""He left half an apple uneaten.""}]","[{""word"": ""剩余"", ""pinyin"": ""shèngyú"", ""meaning"": ""remainder / leftover / surplus""}, {""word"": ""剩饭"", ""pinyin"": ""shèngfàn"", ""meaning"": ""leftover rice / leftovers""}, {""word"": ""所剩无几"", ""pinyin"": ""suǒ shèng wú jī"", ""meaning"": ""very little left / almost none remaining""}]"
1251,尤,尤,,yóu,,,you2,,,43,5,,especially | particularly | outstanding | a fault,"[{""chinese"": ""冬天尤其要注意保暖。"", ""english"": ""Especially in winter, you need to be careful to stay warm.""}, {""chinese"": ""他的英文很好，尤其是口语。"", ""english"": ""His English is very good, particularly his spoken English.""}, {""chinese"": ""这部电影好看，尤其对年轻人来说。"", ""english"": ""This movie is entertaining, especially for young people.""}]","[{""word"": ""尤其"", ""pinyin"": ""yóuqī"", ""meaning"": ""especially / particularly / in particular""}, {""word"": ""尤为"", ""pinyin"": ""yóuwéi"", ""meaning"": ""especially / particularly / all the more""}, {""word"": ""无所不至，尤其厌烦"", ""pinyin"": ""wú suǒ bù zhì, yóuqī yànfán"", ""meaning"": ""especially displeasing / particularly odious""}]"
1252,届,屆,,jiè,,,jie4,,,44,5,,"measure word for sessions, terms, elections, conferences, or other periodic events | to reach (a deadline or time)","[{""chinese"": ""今年是校运会第二十届。"", ""english"": ""This year is the twentieth session of the school sports meet.""}, {""chinese"": ""他是2020届高中毕业生。"", ""english"": ""He is a high school graduate from the class of 2020.""}, {""chinese"": ""奥运会每四年举办一届。"", ""english"": ""The Olympics are held once every four years.""}]","[{""word"": ""届时"", ""pinyin"": ""jièshí"", ""meaning"": ""at that time / when the time comes""}, {""word"": ""历届"", ""pinyin"": ""lìjiè"", ""meaning"": ""successive sessions / past editions""}, {""word"": ""上一届"", ""pinyin"": ""shàng yī jiè"", ""meaning"": ""the previous session / last term""}]"
1253,偷,偷,,tōu,,,tou1,,,9,5,,to steal | to pilfer | to snatch,"[{""chinese"": ""小偷在超市偷了一些食物。"", ""english"": ""The thief stole some food from the supermarket.""}, {""chinese"": ""不要偷偷地看别人的日记。"", ""english"": ""Don't secretly read other people's diaries.""}, {""chinese"": ""他经常偷懒，不想做作业。"", ""english"": ""He often tries to get out of work and doesn't want to do his homework.""}]","[{""word"": ""小偷"", ""pinyin"": ""xiǎotōu"", ""meaning"": ""thief / burglar""}, {""word"": ""偷偷"", ""pinyin"": ""tōutōu"", ""meaning"": ""secretly / stealthily / on the sly""}, {""word"": ""偷懒"", ""pinyin"": ""tōulan"", ""meaning"": ""to shirk / to slack off / to be lazy""}]"
1254,乏,乏,,fá,,,fa2,,,4,5,,poor | short | lacking | tired,"[{""chinese"": ""他缺乏自信心去参加比赛。"", ""english"": ""He lacks the confidence to participate in the competition.""}, {""chinese"": ""这个地区乏水源。"", ""english"": ""This region is short of water sources.""}, {""chinese"": ""长时间工作让人感到疲乏。"", ""english"": ""Working for a long time makes people feel tired.""}]","[{""word"": ""缺乏"", ""pinyin"": ""quēfá"", ""meaning"": ""to lack / lacking / shortage of""}, {""word"": ""乏力"", ""pinyin"": ""fáli"", ""meaning"": ""weak / powerless / lacking strength""}, {""word"": ""疲乏"", ""pinyin"": ""pífa"", ""meaning"": ""tired / weary / exhausted""}]"
1255,呆,呆,,dāi,ái,,dai1,ai2,,30,5,,foolish; stupid; dull-witted; to stay; to remain,"[{""chinese"": ""他呆呆地站在那里，一句话都没说。"", ""english"": ""He stood there blankly, not saying a word.""}, {""chinese"": ""别呆在屋里，出去走走吧。"", ""english"": ""Don't stay cooped up indoors—go out for a walk.""}, {""chinese"": ""这个想法有点呆，根本行不通。"", ""english"": ""This idea is a bit foolish and won't work at all.""}]","[{""word"": ""发呆"", ""pinyin"": ""fādāi"", ""meaning"": ""to stare blankly; to daydream""}, {""word"": ""呆子"", ""pinyin"": ""dāizi"", ""meaning"": ""fool; blockhead""}, {""word"": ""呆板"", ""pinyin"": ""dāibǎn"", ""meaning"": ""dull; stiff; inflexible""}]"
1256,鼓,鼓,,gǔ,,,gu3,,,207,5,,drum; to beat a drum; to applaud; to encourage; to bulge,"[{""chinese"": ""孩子们敲鼓时非常兴奋。"", ""english"": ""The children were very excited when beating the drums.""}, {""chinese"": ""他的建议鼓舞了整个团队。"", ""english"": ""His suggestion encouraged the whole team.""}, {""chinese"": ""观众们热烈鼓掌欢迎演员。"", ""english"": ""The audience applauded warmly to welcome the performers.""}]","[{""word"": ""鼓掌"", ""pinyin"": ""gǔzhǎng"", ""meaning"": ""to applaud; to clap""}, {""word"": ""鼓励"", ""pinyin"": ""gǔlì"", ""meaning"": ""to encourage; encouragement""}, {""word"": ""鼓舞"", ""pinyin"": ""gǔwǔ"", ""meaning"": ""to inspire; to hearten""}]"
1257,励,勵,,lì,,,li4,,,19,5,,to encourage; to urge; to exhort,"[{""chinese"": ""老师的话励了我继续前进。"", ""english"": ""The teacher's words encouraged me to keep moving forward.""}, {""chinese"": ""他受到家人的鼓励，决定出国深造。"", ""english"": ""Encouraged by his family, he decided to study abroad.""}, {""chinese"": ""这个成功故事励志了很多年轻人。"", ""english"": ""This success story inspired many young people.""}]","[{""word"": ""励志"", ""pinyin"": ""lìzhì"", ""meaning"": ""inspiring; motivational""}, {""word"": ""鼓励"", ""pinyin"": ""gǔlì"", ""meaning"": ""to encourage; encouragement""}, {""word"": ""自励"", ""pinyin"": ""zìlì"", ""meaning"": ""to encourage oneself; self-motivation""}]"
1258,甲,甲,,jiǎ,jiá,,jia3,jia2,,102,5,,armor; shell; carapace; fingernail; first of the ten heavenly stems; first; number one,"[{""chinese"": ""经常咬指甲会伤害指甲的健康。"", ""english"": ""Frequently biting your nails will damage their health.""}, {""chinese"": ""甲队和乙队要进行一场比赛。"", ""english"": ""Team A and Team B are going to have a match.""}, {""chinese"": ""这只乌龟的甲壳非常坚硬。"", ""english"": ""The turtle's shell is extremely hard.""}]","[{""word"": ""指甲"", ""pinyin"": ""zhǐjia"", ""meaning"": ""fingernail; toenail""}, {""word"": ""甲壳"", ""pinyin"": ""jiǎké"", ""meaning"": ""shell; carapace""}, {""word"": ""甲骨文"", ""pinyin"": ""jiǎgǔwén"", ""meaning"": ""oracle bone script""}]"
1259,频,頻,,pín,,,pin2,,,181,5,,frequency; frequently; often; repetitively,"[{""chinese"": ""最近她频繁地出现在公众面前。"", ""english"": ""Recently she has been appearing in public frequently.""}, {""chinese"": ""这部电影频道今晚要重播经典影片。"", ""english"": ""This movie channel will rebroadcast classic films tonight.""}, {""chinese"": ""他频频提醒我们要注意安全。"", ""english"": ""He repeatedly reminded us to pay attention to safety.""}]","[{""word"": ""频率"", ""pinyin"": ""pínlǜ"", ""meaning"": ""frequency; rate""}, {""word"": ""频繁"", ""pinyin"": ""pínfán"", ""meaning"": ""frequent; frequently; often""}, {""word"": ""频道"", ""pinyin"": ""píndào"", ""meaning"": ""channel (TV, radio, etc.)""}]"
1260,肤,膚,,fū,,,fu1,,,74,5,,skin | shallow | superficial,"[{""chinese"": ""她的皮肤白得像雪。"", ""english"": ""Her skin is as white as snow.""}, {""chinese"": ""长期熬夜会伤害皮肤。"", ""english"": ""Staying up late for long periods damages your skin.""}, {""chinese"": ""这只是肤浅的理解。"", ""english"": ""This is only a superficial understanding.""}]","[{""word"": ""皮肤"", ""pinyin"": ""pífu"", ""meaning"": ""skin""}, {""word"": ""肤浅"", ""pinyin"": ""fūqiǎn"", ""meaning"": ""superficial; shallow""}, {""word"": ""肌肤"", ""pinyin"": ""jīfu"", ""meaning"": ""skin; complexion""}]"
1261,棒,棒,,bàng,bàng,,bang4,bang4,,75,5,,stick | club | strong | smart | to hit,"[{""chinese"": ""你的表现真的很棒！"", ""english"": ""Your performance was really excellent!""}, {""chinese"": ""他用木棒敲了敲门。"", ""english"": ""He knocked on the door with a wooden stick.""}, {""chinese"": ""这家餐厅的服务很棒。"", ""english"": ""The service at this restaurant is fantastic.""}]","[{""word"": ""棒球"", ""pinyin"": ""bàngqiú"", ""meaning"": ""baseball""}, {""word"": ""棍棒"", ""pinyin"": ""gùnbàng"", ""meaning"": ""stick; club; rod""}, {""word"": ""铁棒"", ""pinyin"": ""tiěbàng"", ""meaning"": ""iron rod; iron bar""}]"
1262,疯,瘋,,fēng,,,feng1,,,104,5,,insane | mad | wild,"[{""chinese"": ""他因为失业而变得有点疯。"", ""english"": ""He became somewhat mentally unstable due to losing his job.""}, {""chinese"": ""这个疯狂的计划可能行得通。"", ""english"": ""This wild plan might actually work.""}, {""chinese"": ""她疯狂地爱上了那个男孩。"", ""english"": ""She fell madly in love with that boy.""}]","[{""word"": ""疯狂"", ""pinyin"": ""fēngkuáng"", ""meaning"": ""crazy; insane; wild""}, {""word"": ""发疯"", ""pinyin"": ""fāfēng"", ""meaning"": ""to go mad; to go crazy""}, {""word"": ""疯子"", ""pinyin"": ""fēngzi"", ""meaning"": ""lunatic; madman""}]"
1263,狂,狂,,kuáng,,,kuang2,,,94,5,,insane | mad | violent | wild,"[{""chinese"": ""那个狂风暴雨的夜晚，他们躲在山洞里。"", ""english"": ""On that wild and stormy night, they took shelter in a cave.""}, {""chinese"": ""粉丝们为新专辑发行狂欢。"", ""english"": ""Fans went wild celebrating the new album release.""}, {""chinese"": ""我为你疯狂已有多年。"", ""english"": ""I've been crazy about you for years.""}]","[{""word"": ""疯狂"", ""pinyin"": ""fēngkuáng"", ""meaning"": ""crazy; insane; wild""}, {""word"": ""狂风"", ""pinyin"": ""kuángfēng"", ""meaning"": ""violent wind; gale""}, {""word"": ""狂欢"", ""pinyin"": ""kuánghuān"", ""meaning"": ""to revel; to have a wild celebration""}]"
1264,矛,矛,,máo,,,mao2,,,110,5,,spear | lance | pike,"[{""chinese"": ""矛尖浸在一种致命的毒药里。"", ""english"": ""The spear tip was dipped in a deadly poison.""}, {""chinese"": ""古代士兵手持长矛在战场上战斗。"", ""english"": ""Ancient soldiers fought on the battlefield wielding long spears.""}, {""chinese"": ""矛和盾是古代常见的武器。"", ""english"": ""Spears and shields were common weapons in ancient times.""}]","[{""word"": ""矛盾"", ""pinyin"": ""máodùn"", ""meaning"": ""contradiction; conflict""}, {""word"": ""长矛"", ""pinyin"": ""chángmáo"", ""meaning"": ""long spear; lance""}, {""word"": ""矛头"", ""pinyin"": ""máotou"", ""meaning"": ""spearhead; target of attack""}]"
1265,盾,盾,,dùn,,,dun4,,,109,5,,"shield | a defensive weapon | currency unit (dong, used in Vietnam and some other countries)","[{""chinese"": ""古代战士用盾牌保护自己。"", ""english"": ""Ancient warriors used shields to protect themselves.""}, {""chinese"": ""这个盾徽代表了家族的荣誉。"", ""english"": ""This shield emblem represents the family's honor.""}, {""chinese"": ""越南的货币单位是盾。"", ""english"": ""The Vietnamese currency unit is the dong.""}]","[{""word"": ""盾牌"", ""pinyin"": ""dùnpái"", ""meaning"": ""shield""}, {""word"": ""矛盾"", ""pinyin"": ""máodùn"", ""meaning"": ""contradiction | spear and shield (paradox)""}, {""word"": ""盾形"", ""pinyin"": ""dùnxíng"", ""meaning"": ""shield-shaped""}]"
1266,丢,丟,,diū,,,diu1,,,1,5,,to lose | to throw | to discard | to misplace,"[{""chinese"": ""我不小心丢了钥匙。"", ""english"": ""I accidentally lost my keys.""}, {""chinese"": ""他在公众面前丢脸了。"", ""english"": ""He lost face in public.""}, {""chinese"": ""别丢掉这份工作的机会。"", ""english"": ""Don't throw away this job opportunity.""}]","[{""word"": ""丢脸"", ""pinyin"": ""diūliǎn"", ""meaning"": ""to lose face | to be ashamed""}, {""word"": ""丢掉"", ""pinyin"": ""diūdiào"", ""meaning"": ""to throw away | to discard""}, {""word"": ""丢失"", ""pinyin"": ""diūshī"", ""meaning"": ""to lose | to be lost""}]"
1267,仔,仔,,zǐ,zī,,zi3,zi1,,9,5,,small | child | young animal | (used in surnames or compounds meaning 'careful'),"[{""chinese"": ""你要仔细检查这份文件。"", ""english"": ""You need to check this document carefully.""}, {""chinese"": ""妈妈叫我仔细做功课。"", ""english"": ""Mom told me to do my homework carefully.""}, {""chinese"": ""这个小仔特别聪明。"", ""english"": ""This little boy is particularly smart.""}]","[{""word"": ""仔细"", ""pinyin"": ""zǐxì"", ""meaning"": ""careful | carefully | detailed""}, {""word"": ""仔裤"", ""pinyin"": ""zǐkù"", ""meaning"": ""jeans""}, {""word"": ""崽仔"", ""pinyin"": ""zǎizai"", ""meaning"": ""child | young animal""}]"
1268,暂,暫,蹔,zàn,,,zan4,,,72,5,,temporary | momentary | for the time being,"[{""chinese"": ""这个困难只是暂时的。"", ""english"": ""This difficulty is only temporary.""}, {""chinese"": ""请你暂停一下，我有些话要说。"", ""english"": ""Please pause for a moment; I have something to say.""}, {""chinese"": ""我们先暂且不讨论这个问题。"", ""english"": ""Let's not discuss this issue for now.""}]","[{""word"": ""暂时"", ""pinyin"": ""zànshí"", ""meaning"": ""temporary | for the time being""}, {""word"": ""暂停"", ""pinyin"": ""zàntíng"", ""meaning"": ""to pause | to suspend""}, {""word"": ""暂且"", ""pinyin"": ""zànqiě"", ""meaning"": ""for now | tentatively""}]"
1269,德,德,,dé,,,de2,,,60,5,,virtue | morality | ethics | character | compassion | (used in names like German: 德语),"[{""chinese"": ""他是一个德高望重的老师。"", ""english"": ""He is a highly respected and virtuous teacher.""}, {""chinese"": ""品德教育对孩子很重要。"", ""english"": ""Character education is important for children.""}, {""chinese"": ""我在大学里学习德语。"", ""english"": ""I study German at university.""}]","[{""word"": ""品德"", ""pinyin"": ""pǐndé"", ""meaning"": ""moral character | virtue""}, {""word"": ""德语"", ""pinyin"": ""déyǔ"", ""meaning"": ""German language""}, {""word"": ""道德"", ""pinyin"": ""dàodé"", ""meaning"": ""morality | ethics""}]"
1270,惜,惜,,xī,,,xi1,,,61,5,,pity | regret | to rue | to begrudge,"[{""chinese"": ""太可惜了，他没能来参加。"", ""english"": ""It's such a pity that he couldn't attend.""}, {""chinese"": ""我很惜时间，从不浪费。"", ""english"": ""I cherish my time and never waste it.""}, {""chinese"": ""可惜这个机会被错过了。"", ""english"": ""Unfortunately, this opportunity was missed.""}]","[{""word"": ""可惜"", ""pinyin"": ""kěxī"", ""meaning"": ""unfortunately / it's a pity""}, {""word"": ""惜时"", ""pinyin"": ""xīshí"", ""meaning"": ""to cherish / value time""}, {""word"": ""爱惜"", ""pinyin"": ""àixī"", ""meaning"": ""to cherish / to treasure""}]"
1271,签,籤,"簽, 籖",qiān,qiàn,,qian1,qian4,,118,5,,to sign | to endorse | a note | a slip of paper,"[{""chinese"": ""请在这里签上你的名字。"", ""english"": ""Please sign your name here.""}, {""chinese"": ""我需要申请工作签证。"", ""english"": ""I need to apply for a work visa.""}, {""chinese"": ""他抽签决定了比赛的分组。"", ""english"": ""He drew lots to determine the match pairings.""}]","[{""word"": ""签名"", ""pinyin"": ""qiānmíng"", ""meaning"": ""signature / to sign""}, {""word"": ""签证"", ""pinyin"": ""qiānzhèng"", ""meaning"": ""visa""}, {""word"": ""签到"", ""pinyin"": ""qiāndào"", ""meaning"": ""to sign in / to check in""}]"
1272,傻,傻,,shǎ,,,sha3,,,9,5,,foolish | silly | stupid | an imbecile,"[{""chinese"": ""别做这么傻的事情。"", ""english"": ""Don't do something so foolish.""}, {""chinese"": ""他看起来傻傻的，但其实很聪明。"", ""english"": ""He looks silly, but he's actually very smart.""}, {""chinese"": ""你站在那里干傻事呢？"", ""english"": ""What are you doing standing there like an idiot?""}]","[{""word"": ""傻瓜"", ""pinyin"": ""shǎguā"", ""meaning"": ""fool / idiot""}, {""word"": ""傻笑"", ""pinyin"": ""shǎxiào"", ""meaning"": ""to giggle foolishly""}, {""word"": ""发傻"", ""pinyin"": ""fāshǎ"", ""meaning"": ""to act dumb / to be dazed""}]"
1273,欣,欣,,xīn,,,xin1,,,76,5,,delighted | happy | joyous,"[{""chinese"": ""我欣赏这部电影的艺术风格。"", ""english"": ""I appreciate the artistic style of this film.""}, {""chinese"": ""她欣然接受了这个邀请。"", ""english"": ""She gladly accepted the invitation.""}, {""chinese"": ""听到好消息，我欣喜若狂。"", ""english"": ""Hearing the good news, I was absolutely elated.""}]","[{""word"": ""欣赏"", ""pinyin"": ""xīnshǎng"", ""meaning"": ""to appreciate / to admire""}, {""word"": ""欣然"", ""pinyin"": ""xīnrán"", ""meaning"": ""gladly / willingly / happily""}, {""word"": ""欣喜"", ""pinyin"": ""xīnxǐ"", ""meaning"": ""delighted / joyful""}]"
1274,射,射,,shè,shè,,she4,she4,,41,5,,to shoot | to launch | to allude to,"[{""chinese"": ""运动员向靶子射出了箭。"", ""english"": ""The athlete shot an arrow at the target.""}, {""chinese"": ""火箭将被发射到太空。"", ""english"": ""The rocket will be launched into space.""}, {""chinese"": ""这个故事射影了现实社会。"", ""english"": ""This story alludes to real society.""}]","[{""word"": ""射击"", ""pinyin"": ""shèjī"", ""meaning"": ""to shoot / shooting (sport)""}, {""word"": ""发射"", ""pinyin"": ""fāshè"", ""meaning"": ""to launch / to emit""}, {""word"": ""射线"", ""pinyin"": ""shèxiàn"", ""meaning"": ""ray / beam""}]"
1275,凭,憑,,píng,,,ping2,,,16,5,,to lean against | to rely on | on the basis of,"[{""chinese"": ""我凭多年的经验解决了这个问题。"", ""english"": ""I solved this problem based on years of experience.""}, {""chinese"": ""你凭什么这样对我说话？"", ""english"": ""What gives you the right to speak to me that way?""}, {""chinese"": ""他凭着一张旧机票进了候机厅。"", ""english"": ""He entered the departure lounge with an old boarding pass.""}]","[{""word"": ""凭证"", ""pinyin"": ""píngzhèng"", ""meaning"": ""proof / evidence / certificate""}, {""word"": ""凭借"", ""pinyin"": ""píngjiè"", ""meaning"": ""by means of / with the help of / to rely on""}, {""word"": ""凭空"", ""pinyin"": ""píngkōng"", ""meaning"": ""out of thin air / without cause""}]"
1276,详,詳,,xiáng,,,xiang2,,,149,5,,complete | detailed | thorough,"[{""chinese"": ""请详细介绍一下你的工作经历。"", ""english"": ""Please describe your work experience in detail.""}, {""chinese"": ""这份报告需要更详尽的数据支持。"", ""english"": ""This report needs more comprehensive data support.""}, {""chinese"": ""我不太详细了解这件事的全部情况。"", ""english"": ""I don't know all the details of this matter thoroughly.""}]","[{""word"": ""详细"", ""pinyin"": ""xiángxì"", ""meaning"": ""detailed / in detail / thorough""}, {""word"": ""详情"", ""pinyin"": ""xiángqíng"", ""meaning"": ""details / particulars""}, {""word"": ""详尽"", ""pinyin"": ""xiángjìn"", ""meaning"": ""comprehensive / thorough / exhaustive""}]"
1277,洞,洞,,dòng,tòng,,dong4,tong4,,85,5,,cave | grotto | hole | ravine,"[{""chinese"": ""山上有一个古老的石洞。"", ""english"": ""There's an ancient stone cave on the mountain.""}, {""chinese"": ""墙上被打出了一个大洞。"", ""english"": ""A large hole was punched through the wall.""}, {""chinese"": ""老鼠在地板下面挖了个洞。"", ""english"": ""The mouse dug a hole under the floorboards.""}]","[{""word"": ""洞穴"", ""pinyin"": ""dòngxuè"", ""meaning"": ""cave / cavern""}, {""word"": ""黑洞"", ""pinyin"": ""hēidòng"", ""meaning"": ""black hole""}, {""word"": ""山洞"", ""pinyin"": ""shāndòng"", ""meaning"": ""mountain cave""}]"
1278,撞,撞,,zhuàng,,,zhuang4,,,64,5,,to bump into | to collide | to hit | to knock against,"[{""chinese"": ""他骑车不小心撞到了树。"", ""english"": ""He accidentally hit a tree while riding his bike.""}, {""chinese"": ""两辆车在十字路口相撞了。"", ""english"": ""Two cars collided at the intersection.""}, {""chinese"": ""别让他去撞这个主意，会吃亏的。"", ""english"": ""Don't let him pursue that idea; he'll regret it.""}]","[{""word"": ""撞车"", ""pinyin"": ""zhuàngchē"", ""meaning"": ""car crash / collision""}, {""word"": ""相撞"", ""pinyin"": ""xiāngzhuàng"", ""meaning"": ""to collide with each other""}, {""word"": ""撞击"", ""pinyin"": ""zhuàngjī"", ""meaning"": ""to strike / to hit / to collide""}]"
1279,骗,騙,,piàn,,,pian4,,,187,5,,to cheat | to swindle | to deceive,"[{""chinese"": ""他用假身份骗取了贷款。"", ""english"": ""He obtained a loan by fraud using a false identity.""}, {""chinese"": ""别被那些广告骗了，这是假产品。"", ""english"": ""Don't be deceived by those ads; this is a counterfeit product.""}, {""chinese"": ""妈妈骗我说吃糖会长虫牙。"", ""english"": ""Mom told me a lie that eating candy would give me cavities.""}]","[{""word"": ""骗子"", ""pinyin"": ""piànzi"", ""meaning"": ""liar / cheat""}, {""word"": ""受骗"", ""pinyin"": ""shòupiàn"", ""meaning"": ""to be deceived / to be cheated""}, {""word"": ""欺骗"", ""pinyin"": ""qīpiàn"", ""meaning"": ""to deceive / to cheat / deception""}]"
1280,吓,嚇,,xià,hè,,xia4,he4,,30,5,,to scare | to frighten | to threaten | to intimidate,"[{""chinese"": ""突然的声音吓了我一跳。"", ""english"": ""The sudden noise startled me.""}, {""chinese"": ""别用这种话吓唬小孩子。"", ""english"": ""Don't intimidate children with that kind of language.""}, {""chinese"": ""他装作很凶来吓人。"", ""english"": ""He pretended to be fierce to scare people.""}]","[{""word"": ""吓唬"", ""pinyin"": ""xiàhuo"", ""meaning"": ""to threaten / to intimidate""}, {""word"": ""害怕"", ""pinyin"": ""hàipà"", ""meaning"": ""to be afraid / to fear""}, {""word"": ""吓人"", ""pinyin"": ""xiàrén"", ""meaning"": ""scary / frightening""}]"
1281,曲,曲,麴,qū,qǔ,,qu1,qu3,,73,5,,crooked / bent / curved / a melody / a tune,"[{""chinese"": ""这条路很曲折。"", ""english"": ""This road is very winding.""}, {""chinese"": ""他弹奏了一首优美的曲子。"", ""english"": ""He played a beautiful melody.""}, {""chinese"": ""我喜欢这部电影的原声曲。"", ""english"": ""I love the original soundtrack of this film.""}]","[{""word"": ""曲折"", ""pinyin"": ""qūzhé"", ""meaning"": ""winding / twisting / complicated""}, {""word"": ""曲子"", ""pinyin"": ""qūzi"", ""meaning"": ""tune / melody / composition""}, {""word"": ""歌曲"", ""pinyin"": ""gēqū"", ""meaning"": ""song / musical piece""}]"
